conf/cikm/2010clouddb;cikm
conf/cikm/2008pikm;cikm
conf/cikm/2014esair;cikm
conf/cikm/2009swsm;cikm
conf/cikm/2015ucui;cikm
conf/cikm/2009clouddb;cikm
conf/cikm/2018;cikm
conf/cikm/2008onisw;cikm
conf/cikm/2006;cikm
conf/cikm/2011books;cikm
conf/cikm/2019;cikm
conf/cikm/2016dsmm;cikm
conf/cikm/2010esair;cikm
conf/cikm/2012esair;cikm
conf/cikm/2012pikm;cikm
conf/cikm/2014webkr;cikm
conf/cikm/2012plead;cikm
conf/cikm/2011smuc;cikm
conf/cikm/2012mixhs;cikm
conf/cikm/2015;cikm
conf/cikm/2019kars;cikm
conf/cikm/2013;cikm
conf/cikm/2010smuc;cikm
conf/cikm/2012clouddb;cikm
conf/cikm/2014dtmbio;cikm
conf/cikm/2005;cikm
conf/cikm/2012;cikm
conf/cikm/2005kras;cikm
conf/cikm/2015dtmbio;cikm
conf/cikm/2016;cikm
conf/cikm/2015ecol;cikm
conf/cikm/2008wicow;cikm
conf/cikm/2013akbc;cikm
conf/cikm/2007cims;cikm
conf/cikm/2013dare;cikm
conf/cikm/2015nwsearch;cikm
conf/cikm/2010pikm;cikm
conf/cikm/2020;cikm
conf/sutc/2010;sutc
conf/sutc/2008;sutc
conf/sutc/2006;sutc
conf/cadgraphics/2007;cadgraphics
conf/cadgraphics/2009;cadgraphics
conf/cadgraphics/2011;cadgraphics
conf/cadgraphics/2015;cadgraphics
conf/cadgraphics/2013;cadgraphics
conf/cadgraphics/2005;cadgraphics
conf/clar/2021;clar
conf/clar/2018;clar
conf/clar/2016;clar
conf/clar/2020;clar
conf/widm/2007;widm
conf/widm/2009;widm
conf/widm/2008;widm
conf/widm/2006;widm
conf/widm/2005;widm
conf/widm/2012;widm
conf/cscw/2010;cscw
conf/cscw/2019c;cscw
conf/cscw/2011;cscw
conf/cscw/2008;cscw
conf/cscw/2017;cscw
conf/cscw/2017c;cscw
conf/cscw/2020c;cscw
conf/cscw/2014;cscw
conf/cscw/2012c;cscw
conf/cscw/2022c;cscw
conf/cscw/2014c;cscw
conf/cscw/2018c;cscw
conf/cscw/2006;cscw
conf/cscw/2015c;cscw
conf/cscw/2016c;cscw
conf/cscw/2015;cscw
conf/cscw/2021c;cscw
conf/cscw/2013;cscw
conf/cscw/2012;cscw
conf/cscw/2016;cscw
conf/cscw/2013c;cscw
conf/icfp/2014fhpc;icfp
conf/icfp/2018farm;icfp
