,author,name,pid
5088,David Alex Lamb,David Alex Lamb,38/5857
5089,David Alexander Forsyth,David A. Forsyth,f/DavidAForsyth
5090,David Alonso-Ríos,David Alonso-Ríos,20/3687
5091,David Andersen,,
5092,David Andrew Ross,,
5093,David Andrews,David Andrews,25/4212
5094,David Anthony Parker,David Parker 0001,33/3095
5095,David Arnott,David Arnott,86/5697
5096,David Arthur Eppstein,David Eppstein,e/DEppstein
5097,David Aspinall 0001,David Aspinall 0001,19/6243
5098,David B. Adams,David Bruce Adams,08/955
5099,David B. Brown,David B. Brown,b/DavidBBrown
5100,David B. Johnson 0001,David B. Johnson 0001,r/DBJohnson
5101,David B. Leake,David B. Leake,61/6475
5102,David B. Lindell,David B. Lindell,170/2608
5103,David B. Lowe,David B. Lowe,l/DavidLowe
5104,David B. Shmoys,David B. Shmoys,s/DavidBShmoys
5105,David B. Skillicorn,David B. Skillicorn,s/DavidBSkillicorn
5106,David B. Whalley,David B. Whalley,83/6922
5107,David Baelde,David Baelde,58/5271
5108,David Bainbridge,,
5109,David Bamman,David Bamman,39/5799
5110,David Barber,David Barber,47/4760
5111,David Bau,David Bau,47/3614
5112,David Bebbington,David Bebbington,80/3907
5113,David Bell,David Bell,94/3406
5114,David Bermbach,David Bermbach,83/10278
5115,David Bindel,David Bindel,96/6719
5116,David Blaauw,David T. Blaauw,b/DBlaauw
5117,David Black-Schaffer,David Black-Schaffer,58/6781
5118,David Bowers 0001,David Bowers 0001,45/4725
5119,David Bowes,David Bowes,39/7630
5120,David Brander,David Brander,178/5585
5121,David Bremner,David Bremner,b/DavidBremner
5122,David Broman,David Broman,13/3318
5123,David Brooks 0001,David Brooks 0001,30/135
5124,David Brumley,David Brumley,40/2434
5125,David Budgen,David Budgen,01/338
5126,David C. Brown,David C. Brown,53/2134
5127,David C. Hogg,David C. Hogg,h/DHogg
5128,David C. Noelle,David C. Noelle,89/6084
5129,David C. Parkes,David C. Parkes,p/DavidCParkes
5130,David Cabrero Souto,David Cabrero Souto,40/684
5131,David Cachera,David Cachera,52/5561
5132,David Calvert,David Calvert,95/2316
5133,David Carrera,,
5134,David Cash,David Cash,68/158
5135,David Chiang 0001,David Chiang 0001,89/233-1
5136,David Churchill,David Churchill,41/6476
5137,David Clark,David Clark,40/4629
5138,David Cordes,David Cordes,c/DavidCordes
5139,David Corne,David Corne,c/DavidWCorne
5140,David Coyle,David Coyle,96/5266
5141,David Crossland Hogg,David C. Hogg,h/DHogg
5142,David D. Cox,David D. Cox,48/7659
5143,David D. Feng,David D. Feng,f/DavidDaganFeng
5144,David D. Jensen,David D. Jensen,38/828
5145,David Dagan Feng,David Dagan Feng,f/DavidDaganFeng
5146,David Daniel Cox,David D. Cox,48/7659
5147,David Dapeng Zhang,David Zhang 0001,z/DavidZhang
5148,David Devecsery,David Devecsery,127/3085
5149,David Donar,David Donari,37/702
5150,David Doty,David Doty,39/1177
5151,David Duvenaud,David Duvenaud,86/9380
5152,David E. Bakken,David E. Bakken,12/5624
5153,David E. Breen,David E. Breen,39/1780
5154,David E. Carlson,David E. Carlson,30/11107
5155,David E. Evans 0001,David E. Evans 0001,e/DavidEvans
5156,David E. Irwin 0001,David E. Irwin 0001,28/760-1
5157,David E. Keyes,David E. Keyes,27/854
5158,David E. Kieras,David E. Kieras,33/132
5159,David E. Millard,David E. Millard,80/5019
5160,David Ebert,David Ebert,202/3171
5161,David Edward Millard,David E. Millard,80/5019
5162,David Edwin Carlson,David E. Carlson,30/11107
5163,David Emory Irwin,David E. Irwin 0001,28/760-1
5164,David Eppstein,David Eppstein,e/DEppstein
5165,David Evans 0001,David Evans 0001,e/DavidEvans
5166,David F. Fouhey,David F. Fouhey,29/8613
5167,David F. Gleich,David F. Gleich,40/4457
5168,David F. Kotz,David Kotz,k/DavidKotz
5169,David F. Manlove,David F. Manlove,m/DManlove
5170,David F. Oswald,David F. Oswald,190/2073
5171,David F. Redmiles,David F. Redmiles,84/6534
5172,David Feil-Seifer,David Feil-Seifer,70/2977
5173,David Feng,David Feng,16/3471
5174,David Feng 0003,David Dagan Feng,f/DavidDaganFeng
5175,David Fernández-Baca,David Fernández-Baca,62/3259
5176,David Finkel,David Finkel,f/DavidFinkel
5177,David Ford Fouhey,David F. Fouhey,29/8613
5178,David Fouhey,David F. Fouhey,29/8613
5179,David G. Andersen,David G. Andersen,a/DavidGAndersen
5180,David G. Green,David G. Green,44/5967
5181,David G. Mitchell,David G. Mitchell,m/DavidGMitchell
5182,David Galindo,David Galindo,21/2415
5183,David García 0001,David García 0001,37/3550
5184,David García Becerra,David García 0001,37/3550
5185,David Garlan,David Garlan,01/2201
5186,David Gavaghan,David Gavaghan,36/3450
5187,David Gelernter,David Gelernter,g/DavidGelernter
5188,David Gerhard,David Gerhard,22/6222
5189,David Gesbert,David Gesbert,44/3570
5190,David Gifford 0001,David K. Gifford,g/DavidKGifford
5191,David Gotz,David Gotz,13/6295
5192,David Greaves,David Greaves,200/8803
5193,David Green 0002,David Green 0002,44/5967
5194,David Gregg,David Gregg,g/DavidGregg
5195,David Grellscheid,David Grellscheid,92/11053
5196,David H. Ackley,David H. Ackley,11/4038
5197,David H. Albonesi,David H. Albonesi,44/1649
5198,David H. C. Du,David Hung-Chang Du,d/DHCDu
5199,David H. Laidlaw,David H. Laidlaw,87/6639
5200,David Harel,David Harel,h/DavidHarel
5201,David Harris-Birtill,David Harris-Birtill,187/9623
5202,David Hausheer,David Hausheer,76/3287
5203,David Hay,David Hay,97/2867
5204,David Held,David Held,22/11147
5205,David Hendrix,David Hendrix,18/3031
5206,David Hsu,David Hsu,29/331
5207,David Hung-Chang Du,David Hung-Chang Du,d/DHCDu
5208,David Hutchison 0001,David Hutchison 0001,h/DavidHutchison
5209,David Hyde 0001,David Hyde 0001,146/0315-1
5210,David Hästbacka,David Hästbacka,18/1537
5211,David I. August,David I. August,19/5025
5212,David I. W. Levin,David I. W. Levin,97/8315
5213,David Isaacson,David Isaacson,79/5215
5214,David J. Barnes,David J. Barnes,25/5813
5215,David J. Crandall,David J. Crandall,c/DavidCrandall
5216,David J. Duke,David J. Duke,09/1985
5217,David J. Feil-Seifer,,
5218,David J. Fleet,David J. Fleet,07/2099
5219,David J. Gavaghan,David Gavaghan,36/3450
5220,David J. Greaves,David J. Greaves,26/4669
5221,David J. Hawkes,David J. Hawkes,14/2317
5222,David J. Kriegman,David J. Kriegman,k/DavidJKriegman
5223,David J. Mostow,Jack Mostow,m/JackMostow
5224,David J. Pearce,,
5225,David J. Perreault,David J. Perreault,83/10293
5226,David J. Pym,David J. Pym,16/3107
5227,David J. Thuente,David J. Thuente,58/3135
5228,David J. Weir,David J. Weir,04/3822
5229,David J. Weston,David J. Weston,38/2181
5230,David J. Wild 0001,David J. Wild 0001,62/4871
5231,David J. Wu 0001,David J. Wu 0001,32/10400-1
5232,David Jackson 0001,David Jackson 0001,01/5646-1
5233,David Jacobs 0001,David Jacobs 0001,j/DavidWJacobs
5234,David Jao,David Jao,51/2578
5235,David John Hawkes,David J. Hawkes,14/2317
5236,David Jones,David Jones,65/6010
5237,David Juedes,David W. Juedes,j/DavidWJuedes
5238,David Jurgens,David Jurgens,48/4613
5239,David K. Duvenaud,David Duvenaud,86/9380
5240,David K. Gifford,David K. Gifford,g/DavidKGifford
5241,David K. Lowenthal,David K. Lowenthal,l/DavidKLowenthal
5242,David K. Probst,David K. Probst,27/375
5243,David K.Y. Chiu,David K. Y. Chiu,33/5288
5244,David Kaeli,,
5245,David Kay,David Kay,67/3159
5246,David Kempe 0001,David Kempe 0001,63/5749-1
5247,David Klappholz,David Klappholz,k/DavidKlappholz
5248,David Koslicki,David Koslicki,38/9446
5249,David Kotz,David Kotz,k/DavidKotz
5250,David Kristjanson Duvenaud,David Duvenaud,86/9380
5251,David Kung,David Kung,172/2774
5252,David L. Dowe,David L. Dowe,d/DLDowe
5253,David L. Poole,David Poole 0001,p/DavidPoole
5254,David L. Roberts,,
5255,David L. Roberts 0001,David L. Roberts 0001,63/1523
5256,David L. Spooner,David L. Spooner,s/DavidLSpooner
5257,David L. Wehlau,David L. Wehlau,54/3960
5258,David Lazer,David Lazer,71/1244
5259,David Leake,David Leake,61/6475
5260,David Lee 0002,David Lee 0002,153/6764
5261,David Lewis 0001,David Lewis 0001,80/6593-1
5262,David Lie,David Lie,l/DavidLie
5263,David Lillis,David Lillis,91/1599
5264,David Lindlbauer,David Lindlbauer,128/9519
5265,David Lo 0001,David Lo 0001,89/6793-1
5266,David M. Blei,David M. Blei,86/1910
5267,David M. Bortz,David M. Bortz,46/10200
5268,David M. Brooks,David Brooks 0001,30/135
5269,David M. Chelberg,David M. Chelberg,34/3918
5270,David M. Eyers,David M. Eyers,55/684
5271,David M. J. Tax,David M. J. Tax,40/3077
5272,David M. Laverty,David M. Laverty,81/10727
5273,David M. Mimno,David M. Mimno,39/5487
5274,David M. Mount,David M. Mount,m/DavidMMount
5275,David M. Nichols,David M. Nichols,82/4253
5276,David M. Pennock,David M. Pennock,p/DavidMPennock
5277,David Madigan,David Madigan,22/1891
5278,David Maier 0001,David Maier 0001,m/DavidMaier
5279,David Malah,David Malah,13/4772
5280,David Manlove,David F. Manlove,m/DManlove
5281,David Martins de Matos,David Martins de Matos,24/190
5282,David Martinus Johannes Tax,David M. J. Tax,40/3077
5283,David May,,
5284,David Mazières,David Mazières,m/DMazieres
5285,David McAllester,David McAllester,198/5051
5286,David McG. Squire,David McG. Squire,s/DavidMcGSquire
5287,David McNeill,David McNeill,74/307
5288,David Meger,David Meger,51/3415
5289,David Menoti,David Menotti,10/2834
5290,David Menotti,David Menotti,10/2834
5291,David Menotti Gomes,David Menotti,10/2834
5292,David Michael Eyers,David M. Eyers,55/684
5293,David Miller,David Miller,25/721
5294,David Mimno,David M. Mimno,39/5487
5295,David Mohaisen,David Mohaisen,70/2832
5296,David Morales-Jiménez,David Morales-Jiménez,44/4323
5297,David Mould,David Mould,16/3426
5298,David N. Turner,David N. Turner,t/DavidNTurner
5299,David Naccache,David Naccache,41/6833
5300,David Nassimi,David Nassimi,71/5405
5301,David Novick,David Novick,182/5136
5302,David O. Johnson,David O. Johnson,66/7615
5303,David O. LeVan,David O. LeVan,78/1956
5304,David Orville Johnson,David O. Johnson,66/7615
5305,David P. Helmbold,David P. Helmbold,10/1058
5306,David P. Williamson,David P. Williamson,w/DavidPWilliamson
5307,David P. Woodruff,David P. Woodruff,w/DPWoodruff
5308,David Page,David Page,p/DavidPage
5309,David Parker 0001,David Parker 0001,33/3095
5310,David Pearce 0005,,
5311,David Peleg,David Peleg,p/DavidPeleg
5312,David Pichardie,David Pichardie,37/6728
5313,David Pointcheval,David Pointcheval,p/DPointcheval
5314,David Poole 0001,David Poole 0001,p/DavidPoole
5315,David R. Cheriton,David R. Cheriton,c/DRCheriton
5316,David R. Choffnes,David R. Choffnes,48/6854
5317,David R. Flatla,David R. Flatla,93/7981
5318,David R. Gilbert,David R. Gilbert,g/DavidRGilbert
5319,David R. Kaeli,David R. Kaeli,k/DavidRKaeli
5320,David R. Karger,David R. Karger,k/DavidRKarger
5321,David R. O'Hallaron,David R. O'Hallaron,29/1660
5322,David Rajaratnam,David Rajaratnam,59/4677
5323,David Rappaport,David Rappaport,92/900
5324,David Richerby,David Richerby,r/DavidRicherby
5325,David Roger Gilbert,David R. Gilbert,g/DavidRGilbert
5326,David Rossiter,David Rossiter,10/2815
5327,David S. Bindel,David Bindel,96/6719
5328,David S. Bowers,David Bowers 0001,45/4725
5329,David S. Doermann,David S. Doermann,88/6921
5330,David S. Rosenblum,David S. Rosenblum,r/DSRosenblum
5331,David S. Wishart,David S. Wishart,15/3562
5332,David Saldana,David Saldana,132/7069
5333,David Saldaña,David Saldana,132/7069
5334,David Sands 0001,David Sands 0001,s/DavidSands
5335,David Sarne,David Sarne,03/5237
5336,David Schlangen,David Schlangen,11/1189
5337,David Schwartz,David Schwartz,82/2262
5338,David Scott,David Scott,59/3044
5339,David Scuse,David H. Scuse,11/2977
5340,David Smahel,David Smahel,81/9849
5341,David Squire,David Squire,s/DavidMcGSquire
5342,David Starobinski,David Starobinski,62/3017
5343,David Steurer,David Steurer,59/254
5344,David Stotts,David Stotts,91/261
5345,David Streader,David Streader,20/4581
5346,David Sturgill,David Sturgill,15/2842
5347,David Suter,David Suter,37/5634
5348,David Svoboda,David Svoboda,s/DavidSvoboda
5349,David T. Blaauw,David T. Blaauw,b/DBlaauw
5350,David T. Cliff,Dave Cliff,47/5766
5351,David T. Lee,David T. Lee,153/6764
5352,David Taniar,David Taniar,t/DavidTaniar
5353,David Timothy Lee,David Lee 0002,153/6764
5354,David Tipper,David Tipper,58/4098
5355,David Toman 0001,David Toman 0001,t/DavidToman
5356,David V. Mason,David V. Mason,74/6206
5357,David Van Horn,David Van Horn,77/2466
5358,David Vilares,David Vilares,128/2835
5359,David Vilares Calvo,David Vilares,128/2835
5360,David W. Albrecht,David W. Albrecht,76/5309
5361,David W. Chadwick,David W. Chadwick,c/DavidWChadwick
5362,David W. Cheung,David W. Cheung,c/DWLCheung
5363,David W. Cordes,David Cordes,c/DavidCordes
5364,David W. Corne,David W. Corne,c/DavidWCorne
5365,David W. Jacobs,David Jacobs 0001,j/DavidWJacobs
5366,David W. Juedes,David W. Juedes,j/DavidWJuedes
5367,David W. Petr,David W. Petr,59/927
5368,David W. Walker,David W. Walker,w/DavidWWalker
5369,David W. Wilson 0001,David W. Wilson 0001,39/10498-1
5370,David Wai-Lok Cheung,David Wai-Lok Cheung,c/DWLCheung
5371,David Wakeling,David Wakeling,51/5007
5372,David Walker,David Walker,53/5714
5373,David Warren Tipper,David Tipper,58/4098
5374,David Welch,David Welch,40/6099
5375,David Wentzlaff,David Wentzlaff,49/4239
5376,David Windridge,David Windridge,w/DavidWindridge
5377,David Wingate,David Wingate,14/5737
5378,David Wishart,David Wishart,79/4992
5379,David Wolfe Corne,David W. Corne,c/DavidWCorne
5380,David Yarowsky,David Yarowsky,25/3805
5381,David Yau,,
5382,David Z. Pan,David Z. Pan,p/DavidZhigangPan
5383,David Zhang 0001,David Zhang 0001,z/DavidZhang
5384,David Zhigang Pan,David Z. Pan,p/DavidZhigangPan
5385,David Zuckerman,David Zuckerman,z/DZuckerman
5386,David van Leeuwen,David A. van Leeuwen,57/3801
5387,Davide Bacciu,Davide Bacciu,07/6626
5388,Davide Balzarotti,Davide Balzarotti,56/490
5389,Davide Bolchini,Davide Bolchini,b/DavideBolchini
5390,Davide Careglio,Davide Careglio,76/2080
5391,Davide Di Ruscio,Davide Di Ruscio,r/DavideDiRuscio
5392,Davide Fossati,Davide Fossati,65/6767
5393,Davide Martinenghi,Davide Martinenghi,14/6896
5394,Davide Mottin,Davide Mottin,135/7623
5395,Davide Scaramuzza 0001,Davide Scaramuzza 0001,62/3318
5396,Davide Taibi 0001,Davide Taibi 0001,68/732-1
5397,Davood Rafiei,Davood Rafiei,r/DRafiei
5398,Davor Svetinovic,Davor Svetinovic,68/6669
5399,Dawei Jiang,Dawei Jiang,63/4341
5400,Dawei Li,Dawei Li,13/5856
5401,Dawei Song 0001,Dawei Song 0001,47/6784-1
5402,Dawei Zhou 0003,Dawei Zhou 0003,39/3130-3
5403,Dawn C. Walker,Dawn C. Walker,52/7069
5404,Dawn E. Wilkins,Dawn Wilkins,w/DawnWilkins
5405,Dawn MacIsaac,Dawn MacIsaac,93/4864
5406,Dawn T. MacIsaac,Dawn MacIsaac,93/4864
5407,Dawn Wilkins,Dawn Wilkins,w/DawnWilkins
5408,Dawson R. Engler,Dawson R. Engler,e/DREngler
5409,Dawu Gu,Dawu Gu,72/1963
5410,Dazhao Cheng,Dazhao Cheng,140/9578
5411,De-Chuan Zhan,De-Chuan Zhan,74/498
5412,DeLiang L. Wang,DeLiang L. Wang,31/6085
5413,DeLiang Wang,DeLiang Wang,31/6085
5414,Dean C. Barratt,Dean C. Barratt,63/4928
5415,Dean Hendrix,Dean Hendrix,94/8508
5416,Dean Knudson,Dean Knudson,90/1879
5417,Dean M. Tullsen,Dean M. Tullsen,t/DeanMTullsen
5418,Dean Mohamedally,Dean Mohamedally,01/7900
5419,Dean Pemberton,Dean Pemberton,78/3917
5420,Deba Prasad Mandal,Deba Prasad Mandal,80/6121
5421,Debabrata Das,Debabrata Das,37/6741
5422,Debajyoti Bera,Debajyoti Bera,46/6276
5423,Debajyoti Mondal,Debajyoti Mondal,90/8236
5424,Debapriyo Majumdar,Debapriyo Majumdar,m/DebapriyoMajumdar
5425,Debarati Das 0001,Debarati Das 0001,145/0249-1
5426,Debarghya Ghoshdastidar,Debarghya Ghoshdastidar,63/10964
5427,Debarka Sengupta,Debarka Sengupta,14/11132
5428,Debashis Sahoo,Debashis Sahoo,33/1086
5429,Debasis Mitra,Debasis Mitra,182/0418
5430,Debasis Samanta,Debasis Samanta,28/3822
5431,Debdeep Mukhopadhyay,Debdeep Mukhopadhyay,85/3079
5432,Debi Prosad Dogra,Debi Prosad Dogra,97/7630
5433,Debin Gao,Debin Gao,60/206
5434,Debin Zhao,Debin Zhao,16/3958
5435,Debmalya Panigrahi,Debmalya Panigrahi,81/6547
5436,Deborah Anne Trytten,Deborah Anne Trytten,09/605
5437,Deborah Estrin [Tech],,
5438,Deborah G. Tatar,Deborah G. Tatar,18/1023
5439,Deborah Joseph,Deborah Joseph,j/DeborahJoseph
5440,Deborah Richards,,
5441,Deborah Stacey,Deborah Stacey,14/5035
5442,Debra J. Richardson,Debra J. Richardson,r/DJRichardson
5443,Debrup Chakraborty,Debrup Chakraborty,42/1889
5444,Debswapna Bhattacharya,Debswapna Bhattacharya,137/8045
5445,Declan O'Sullivan,Declan O'Sullivan,16/508
5446,Deendayal Dinakarpandian,Deendayal Dinakarpandian,93/6637
5447,Deep Medhi,Deep Medhi,m/DeepMedhi
5448,Deepak Ajwani,Deepak Ajwani,24/2712
5449,Deepak B. Phatak,Deepak B. Phatak,p/DBPhatak
5450,Deepak D'Souza,Deepak D'Souza,97/4727
5451,Deepak Ganesan,Deepak Ganesan,g/DeepakGanesan
5452,Deepak Garg 0001 [SWS],,
5453,Deepak K. Ghodgaonkar,Deepak K. Ghodgaonkar,139/1943
5454,Deepak Kapur,Deepak Kapur,k/DeepakKapur
5455,Deepak Khemani,Deepak Khemani,54/5388
5456,Deepak P 0001,Deepak P 0001,33/1882
5457,Deepak Padmanabhan 0001,Deepak P 0001,33/1882
5458,Deepak Pathak,Deepak Pathak,155/9860
5459,Deepak Vasisht,Deepak Vasisht,149/9280
5460,Deepak Venugopal,Deepak Venugopal,16/2321
5461,Deepanjan Kesh,Deepanjan Kesh,52/25
5462,Deepankar Medhi,,
5463,Deeparnab Chakrabarty,Deeparnab Chakrabarty,80/5358
5464,Deepinder Sidhu,Deepinder P. Sidhu,54/2949
5465,Deepti R. Bathula,Deepti R. Bathula,16/2063
5466,Deepu Rajan,Deepu Rajan,95/3115
5467,Defu Lian,Defu Lian,87/10734
5468,Deh Cac Can,David Naccache,41/6833
5469,Deian Stefan,Deian Stefan,91/6118
5470,Dejan Kostic,Dejan Kostic,03/3188
5471,Dejan Milutinovic,Dejan Milutinovic,85/3952
5472,Dejing Dou,Dejing Dou,26/2854
5473,Dejun Jiang 0001,Dejun Jiang 0001,50/4908-1
5474,Dejun Yang,Dejun Yang,81/7890
5475,Dekai Wu,Dekai Wu,68/3485
5476,Delaram Jarchi,Delaram Jarchi,46/9875
5477,Delaram Kahrobaei,Delaram Kahrobaei,71/4705
5478,Delbert Willie,Delbert Willie,77/8949
5479,Delfina Malandrino,Delfina Malandrino,98/2936
5480,Deliang Fan,Deliang Fan,129/1701
5481,Dell Zhang,Dell Zhang,z/DellZhang
5482,Delphine Christin,Delphine Reinhardt,60/7821
5483,Delphine Reinhardt,Delphine Reinhardt,60/7821
5484,Demetri Terzopoulos,Demetri Terzopoulos,85/4738
5485,Demetrios Achlioptas,Dimitris Achlioptas,34/4066
5486,Demetrios G. Sampson,Demetrios G. Sampson,s/DemetriosGSampson
5487,Demetrios-Dionysios Koutsouris,Dimitris Koutsouris,27/3742
5488,Demetris Trihinas,Demetris Trihinas,148/6598
5489,Deming Chen,Deming Chen,37/1234
5490,Demosthenis Teneketzis,Demosthenis Teneketzis,40/1496
5491,Deng Cai 0001,Deng Cai 0001,c/DCai
5492,Deng Pan,Deng Pan,56/2238
5493,Dengji Zhao,Dengji Zhao,54/7566
5494,Denilson Barbosa,Denilson Barbosa,b/DBarbosa
5495,Denis A. Nicole,Denis A. Nicole,04/2787
5496,Denis Bouyssou,Denis Bouyssou,52/5514
5497,Denis Cornaz,Denis Cornaz,28/1494
5498,Denis Deratani Mauá,Denis Deratani Mauá,53/10263
5499,Denis Derkach,Denis Derkach,195/6073
5500,Denis F. Wolf,Denis F. Wolf,97/3033
5501,Denis Fernando Wolf,Denis F. Wolf,97/3033
5502,Denis Gracanin,Denis Gracanin,g/DenisGracanin
5503,Denis Hamelin,Denis Hamelin,12/3886
5504,Denis Helic,Denis Helic,11/6129
5505,Denis Kalkofen,Denis Kalkofen,27/2571
5506,Denis Kuperberg,Denis Kuperberg,21/8279
5507,Denis Laurendeau,Denis Laurendeau,54/6770
5508,Denis Nikitenko,,
5509,Denis Pankratov,Denis Pankratov,33/2732
5510,Denis Thérien,Denis Thérien,t/DenisTherien
5511,Denis Zampuniéris,Denis Zampuniéris,43/5803
5512,Denis Zorin,Denis Zorin,21/2496
5513,Denise Gorse,Denise Gorse,67/1045
5514,Denise Guliato,Denise Guliato,18/1119
5515,Denise M. Woit,Denise M. Woit,47/3493
5516,Deniz Gurkan,Deniz Gurkan,07/3031
5517,Deniz Turgay Altilar,D. Turgay Altilar,14/3629
5518,Deniz Yuret,Deniz Yuret,84/4160
5519,Deniz Yüret,Deniz Yuret,84/4160
5520,Dennis E. Shasha,Dennis E. Shasha,s/DennisShasha
5521,Dennis Elliot Shasha,Dennis E. Shasha,s/DennisShasha
5522,Dennis G. Kafura,Dennis G. Kafura,71/6910
5523,Dennis Hofheinz,Dennis Hofheinz,74/3914
5524,Dennis K. Peters,Dennis K. Peters,66/2559
5525,Dennis M. Volpano,Dennis M. Volpano,07/1483
5526,Dennis McLeod,Dennis McLeod,m/DennisMcLeod
5527,Dennis R. Bahler,Dennis R. Bahler,94/5262
5528,Dennis Shasha,Dennis E. Shasha,s/DennisShasha
5529,Dennis Wang,Dennis Wang,30/4906
5530,Denys Poshyvanyk,Denys Poshyvanyk,02/320
5531,Deokgun Park,Deokgun Park,334/5474
5532,Depei Qian,Depei Qian,08/4002
5533,Depeng Li,Depeng Li,90/4415
5534,Deqing Zou,Deqing Zou,z/DeqingZou
5535,Der-Chen Chang,Der-Chen Chang,20/8134
5536,Derek Aguiar,Derek Aguiar,31/8064
5537,Derek Dreyer [SWS],,
5538,Derek Eager,Derek Eager,325/4012
5539,Derek F. Reilly,Derek F. Reilly,25/630
5540,Derek G. Corneil,Derek G. Corneil,46/6360
5541,Derek Gordon Corneil,Derek G. Corneil,46/6360
5542,Derek Greene,Derek Greene,49/4144
5543,Derek Groen,Derek Groen,49/2135
5544,Derek Hoiem,Derek Hoiem,08/6948
5545,Derek Long,Derek Long,54/3768
5546,Derek McAuley,Derek McAuley,57/6908
5547,Derek Nowrouzezahrai,Derek Nowrouzezahrai,30/4225
5548,Derek R. Magee,Derek R. Magee,81/4570
5549,Derek Rayside,Derek Rayside,65/5877
5550,Derek Reilly,Derek Reilly,25/630
5551,Derek Ruths,Derek Ruths,70/10689
5552,Deren Chen,Deren Chen,51/4249
5553,Derick Wood,Derick Wood,w/DerickWood
5554,Derry Tanti Wijaya,Derry Wijaya,43/6731
5555,Derry Wijaya,Derry Wijaya,43/6731
5556,Des Greer,Des Greer,g/DesGreer
5557,Desh Ranjan,Desh Ranjan,r/DeshRanjan
5558,Deshen Moodley,Deshendran Moodley,80/311
5559,Deshendran Moodley,Deshendran Moodley,80/311
5560,Desheng Zhang,Desheng Zhang,15/8612
5561,Deshun Yang,Deshun Yang,57/8540
5562,Desmond Elliott,Desmond Elliott,46/7536
5563,Desmond Greer,Des Greer,g/DesGreer
5564,Despina Michael,Despina Michael-Grigoriou,53/8216
5565,Despina Michael-Grigoriou,Despina Michael-Grigoriou,53/8216
5566,Despina Polemi,Despina Polemi,40/7379
5567,Despoina Polemi,Despina Polemi,40/7379
5568,Detlef Krömker,Detlef Krömker,20/1106
5569,Detlef Plump,Detlef Plump,31/6990
5570,Deuk Heo,Deuk Hyoun Heo,17/5234
5571,Deuk Hyoun Heo,Deuk Hyoun Heo,17/5234
5572,Deukhyoun Heo,Deuk Hyoun Heo,17/5234
5573,Deva Ramanan,Deva Ramanan,49/488
5574,Devan Ray Donaldson,Devan Ray Donaldson,54/10850
5575,Devarajan Sridharan,Devarajan Sridharan,76/6617
5576,Devavrat Shah,Devavrat Shah,73/3881
5577,Devdatt Dubhashi,Devdatt P. Dubhashi,d/DPDubhashi
5578,Devesh Tiwari,Devesh Tiwari,76/9083
5579,Devika Subramanian,Devika Subramanian,99/5507
5580,Devin J. Balkcom,Devin J. Balkcom,22/3426
5581,Devis Tuia,Devis Tuia,99/606
5582,Devorah Gurwitz Kletenik,Devorah Kletenik,75/9827
5583,Devorah Kletenik,Devorah Kletenik,75/9827
5584,Dexter Campbell Kozen,Dexter Kozen,k/DexterKozen
5585,Dexter Hadley,Dexter Hadley,186/4951
5586,Dexter Kozen,Dexter Kozen,k/DexterKozen
5587,Deying Li,,
5588,Dezhen Song,Dezhen Song,16/3547
5589,Dezhong Yao 0002,Dezhong Yao 0002,93/5633-2
5590,Dhabaleswar K. D. K. Panda,Dhabaleswar K. D. K. Panda,p/DhabaleswarKPanda
5591,Dhabaleswar K. Panda,,
5592,Dhabaleswar K. Panda 0001,Dhabaleswar K. Panda 0001,p/DhabaleswarKPanda
5593,Dhabaleswar Kumar Panda 0001,Dhabaleswar K. Panda 0001,p/DhabaleswarKPanda
5594,Dhananjay M. Dhamdhere,Dhananjay M. Dhamdhere,d/DMDhamdhere
5595,Dhananjay Phatak,Dhananjay Phatak,151/1236
5596,Dharanipragada Janakiram,D. Janaki Ram,r/DJanakiRam
5597,Dharini Balasubramaniam,Dharini Balasubramaniam,03/427
5598,Dharma Agrawal,Dharma P. Agrawal,a/DharmaPAgrawal
5599,Dhaval Patel 0002,Dhaval Patel 0002,28/1282-2
5600,Dheeraj Sanghi,Dheeraj Sanghi,66/4913
5601,Dhrubajyoti Goswami,Dhrubajyoti Goswami,g/DhrubajyotiGoswami
5602,Di Hu 0001,Di Hu 0001,49/8496-1
5603,Di Huang 0001,Di Huang 0001,45/780-1
5604,Di Lin,Di Lin,20/3191
5605,Di Ma,,
5606,Di Wang 0015,Di Wang 0015,18/5410-15
5607,Di Wu 0002,Di Wu 0002,52/328-2
5608,Di Yuan,Di Yuan,09/5856
5609,Dia Ali,Dia Ali,13/281
5610,Dian Zhang,Dian Zhang,49/3884
5611,Diana Bental,Diana Bental,50/1371
5612,Diana F. Adamatti,Diana Francisca Adamatti,87/4374
5613,Diana Francisca Adamatti,Diana Francisca Adamatti,87/4374
5614,Diana Franklin,Diana Franklin,f/DianaFranklin
5615,Diana Inkpen,Diana Inkpen,i/DianaInkpen
5616,Diana Keen,Diana Franklin,f/DianaFranklin
5617,Diana Marculescu,Diana Marculescu,59/2715
5618,Diana S. Bental,Diana Bental,50/1371
5619,Diana Wilson,Diana Wilson,130/9312
5620,Diana Zaiu Inkpen,Diana Inkpen,i/DianaInkpen
5621,Diane F. Kelly,Diane Kelly 0002,71/3546-2
5622,Diane Horton,Diane Horton,h/DianeHorton
5623,Diane J. Cook,Diane J. Cook,c/DianeJCook
5624,Diane J. Litman,Diane J. Litman,l/DianeJLitman
