32/1811;Uffe Kjærulff;Aalborg University;dk;http://personprofil.aau.dk/102267?lang=en;NOSCHOLARPAGE
77/377-2;Bin Yang 0002;Aalborg University;dk;http://people.cs.aau.dk/~byang;qjBQhoUAAAAJ
48/2717;Peter Axel Nielsen;Aalborg University;dk;http://people.cs.aau.dk/~pan;l2VkFywAAAAJ
48/2122;Simonas Saltenis;Aalborg University;dk;http://people.cs.aau.dk/~simas;K0l79_wAAAAJ
49/7979;Chenjuan Guo;Aalborg University;dk;http://people.cs.aau.dk/~cguo;WMXNm88AAAAJ
t/KristianTorp;Kristian Torp;Aalborg University;dk;http://people.cs.aau.dk/~torp;EusRZN0AAAAJ
s/JiriSrba;Jirí Srba;Aalborg University;dk;http://people.cs.aau.dk/~srba;PYmuJQoAAAAJ
92/3465;Jouko Lampinen;Aalto University;fi;https://people.aalto.fi/new/jouko.lampinen;Hk0Q8TkAAAAJ
35/3202;Andrés A. Lucero;Aalto University;fi;http://funkydesignspaces.com;YdNEAwoAAAAJ
74/581;Antti Salovaara;Aalto University;fi;https://people.aalto.fi/antti.salovaara;SFkQ65sAAAAJ
m/MarttiMantyla;Martti Mäntylä;Aalto University;fi;https://people.aalto.fi/martti_mantyla;NOSCHOLARPAGE
m/HMannila;Heikki Mannila;Aalto University;fi;https://users.ics.aalto.fi/mannila;NOSCHOLARPAGE
43/5578;Perttu Hämäläinen;Aalto University;fi;https://mediatech.aalto.fi/~phamalainen;i90uqXUAAAAJ
05/6185;Jari Saramäki;Aalto University;fi;https://people.aalto.fi/new/jari.saramaki;KA6xtQ0AAAAJ
r/JuhoRousu;Juho Rousu;Aalto University;fi;https://people.aalto.fi/juho_rousu;JYN5cL4AAAAJ
26/8857;Rohit Babbar;Aalto University;fi;https://research.aalto.fi/en/persons/rohit-babbar;QsqvuGsAAAAJ
63/5415;Antti Ylä-Jääski;Aalto University;fi;http://cse.aalto.fi/en/personnel/antti-yla-jaaski;ojkArgn5IlAC
o/PekkaOrponen;Pekka Orponen;Aalto University;fi;https://users.ics.aalto.fi/orponen;vxczc7gAAAAJ
