76/1781;Shandong University
76/2340;University of St Andrews
76/1953-1;Macquarie University
197/4359;Drexel University
197/1322-4;Shanghai Jiao Tong University
201/4871;IIIT Delhi
201/0538;Rochester Institute of Technology
201/7204;Middlesex University
201/9227;Ruhr-University Bochum
201/1367;University of Oregon
201/0632;Peking University
201/9266;Kyungpook National University
201/9207;Southern Methodist University
252/3794;Rensselaer Polytechnic Institute
228/2183;Augusta University
228/9127;University of Pennsylvania
228/4760;Galatasaray University
228/4180;DePaul University
228/7061;Massachusetts Institute of Technology
228/5155;De La Salle University
228/7394;IUST
170/5430;KAIST
170/9557;Shenzhen University
170/5167;IISc Bangalore
170/5294;RMIT University
170/4266;University of Chicago
170/1116;Australian National University
170/6866;Cardiff University
170/2608;University of Toronto
170/4643;Shandong University
170/1867;University of Würzburg
170/8568;University of Colorado Boulder
170/3497;University of Pittsburgh
99/6654;Shandong University
99/4204;Univ. of California - Irvine
99/2744-1;IMDEA Software Institute
99/4063;University of Kentucky
99/3321;Duke University
99/3558;City University of London
99/7560;Columbia University
99/6218;University College London
99/4833-1;Beihang University
99/6260;York University
99/406;University of Delaware
99/8523;KU Leuven
99/1854;University of Tsukuba
99/4424;Universidade de Lisboa
99/1474;Seoul National University
99/4765;University of Montreal
99/6193;Boğaziçi University
99/10437;University of Texas at Arlington
99/6599-1;Bundeswehr University Munich
99/2352;NTUA
99/7033-6;BUPT
99/3187;Fudan University
99/3264;National Cheng Kung University
99/2099;Simon Fraser University
99/2017;Ecole Normale Superieure de Lyon
99/770;Johns Hopkins University
99/5804;Univ. of Maryland - Baltimore County
99/6797;Shanghai Jiao Tong University
99/1299;University of Michigan
99/5919;University of Piraeus
99/4094;Tsinghua University
99/5049;The University of Alabama
99/10261-2;College of William and Mary
99/11265;Northern Arizona University
99/8736;University of Tartu
99/3869;University of Bergen
99/683;University of Illinois at Chicago
99/4567;University of North Texas
99/1798;Ohio State University
99/4002;Middle East Technical University
99/4535;Nanyang Technological University
99/7599;UNSW
99/4092;Osaka University
99/4290;UFPR
99/5513;IIT Bombay
99/3934;Rensselaer Polytechnic Institute
99/10261-1;Stony Brook University
99/5275;Qatar University
99/10051;Xi'an Jiaotong University
99/662;University of Waterloo
99/5705;University of Wisconsin - Madison
99/365;University of St Andrews
99/1102;University of Toronto
99/8412;University of York
99/3101;IIT Patna
99/4807;Xidian University
99/3437;University of Pennsylvania
99/5677;RMIT University
99/3459;York University
99/8732;Cornell University
99/3488;Technion
99/126;Bundeswehr University Munich
99/6107;University of Vienna
99/5520;New Mexico State University
99/3386;TTI Chicago
99/1702;Singapore Management University
99/5856;Qatar University
99/5921;University of Bergen
99/6361;Universidad de los Andes
99/3883;Purdue University
99/6850;University of Illinois at Chicago
99/2595-1;Chalmers/GU
99/1224;Scuola Superiore Sant'Anna
99/606;EPFL
99/4449;University of Michigan
99/4386;Air Force Institute of Technology
99/4758;Charles University
99/10;UFF
99/238;Sabancı University
99/6155;University of Passau
99/6996;Washington State University
99/1780;University of Leipzig
99/1651;Purdue University
99/965;Peking University
99/8617;Sapienza University of Rome
99/3995;University of Colorado Boulder
99/1774-1;University of Murcia
99/4062;Western University
99/492;University of A Coruña
99/4464;Louisiana State University
99/1109-1;HUST
99/36;University of Pisa
99/6552;University of Tübingen
99/3373;University of Malaya
99/618;University of Szeged
99/5225;Masaryk University
99/2370;University of Southampton
99/8419;Tilburg University
99/3214;Tampere University
99/8459;Vanderbilt University
99/5675;NTUA
99/7237;University of Central Florida
99/2787;ETS Montreal
99/5780;Massachusetts Institute of Technology
99/2031;Karlsruhe Institute of Technology
99/5773;Tsinghua University
99/3622;NTNU
99/6289;University of Melbourne
99/5746;JKU Linz
99/5971-1;University of Otago
99/44;TU Eindhoven
99/3621;University of Crete
99/1133;Rochester Institute of Technology
99/581;Polytechnic University of Catalonia
99/8307;Middlesex University
99/5507;Rice University
99/3;University of Southampton
99/4001;University of Toronto
99/4568;University of Louisiana - Lafayette
99/2747-1;Univ. of California - San Diego
99/5441-2;University of Tsukuba
99/6576;UFRGS
99/3858;University of Alabama - Huntsville
99/9380;University of Chicago
99/5721-2;Michigan Technological University
99/7002;Clemson University
99/5561;Tsinghua University
99/4951;National University of Singapore
99/5832;Open University UK
99/2759;University of Ottawa
99/4490;University of Nevada Las Vegas
99/4726;University of Wuppertal
99/616-1;University of A Coruña
99/6221;York University
99/79;University of Edinburgh
99/1104;Carleton University
99/745;Universidade de Lisboa
99/3776;National Chiao Tung University
99/192;University of Hamburg
99/1940;University of Klagenfurt
99/2111;Universidade NOVA de Lisboa
202/4112;University of Queensland
202/4184;Monash University
202/1974;Massachusetts Institute of Technology
202/9093;Wayne State University
202/1055;University of North Texas
202/3171;University of Oklahoma
29/4187;HKUST
29/617;Ryerson University
29/6542;Saarland University
29/7757;University of Warsaw
29/644;Trinity College Dublin
29/3357;Charles University
29/1679-1;University of Western Australia
29/1584;TU Delft
29/7518;Brunel University London
29/331;National University of Singapore
29/4181-1;Univ. of Illinois at Urbana-Champaign
29/2561;Masdar Institute
29/6473-3;Peking University
29/4200;Stevens Institute of Technology
29/7866;University of Massachusetts Lowell
29/9582;Univ. of California - Santa Barbara
29/10735;IIT Hyderabad
29/10537;University of Liverpool
29/8750;UESTC
29/10920;University of Utah
29/414;TU Dresden
29/3742-1;Shanghai Jiao Tong University
29/5357;University of Michigan
29/847;National Chiao Tung University
29/2969;Lancaster University
29/6910;University of Rostock
29/2046;Tsinghua University
29/2032;Brigham Young University
29/947;NTUA
29/10949;Columbia University
29/310;University of Hildesheim
29/2553;De La Salle University
29/4743;Tokyo Institute of Technology
29/4638;University at Buffalo
29/2748;University of Oxford
29/7759;University College London
29/5321;University of Hong Kong
29/2834;Univ. of Illinois at Urbana-Champaign
29/4867-18;Renmin University of China
29/766-1;The Hong Kong Polytechnic University
29/6333;NTNU
29/3814-1;Tsinghua University
29/5999-8;Virginia Tech
29/3036;University at Buffalo
29/1257;University of Maryland - College Park
29/2498;University of Southern Mississippi
29/4933;IIT Bombay
29/6341;University of Toronto
29/3905;Texas State University
29/9447;National Taiwan University
29/8613;University of Michigan
29/5198;UFRJ
29/4867-2;BUPT
29/986-1;KAIST
29/7058;Washington University in St. Louis
29/3808;Nanyang Technological University
29/1758-1;MBZUAI
29/4520;Harbin Institute of Technology
29/10147;University of Birmingham
29/2442;TU Kaiserslautern
29/5569;Uppsala University
29/2716;Indiana University
29/6082;Nanjing University
29/2245;NJIT
29/2726-2;University of Newcastle
29/6313;University of Athens
29/4111;CUNY
29/19;Hebrew University of Jerusalem
29/1088;University of Houston
29/3488;University of Saskatchewan
29/654;University of Manitoba
29/2451;University of A Coruña
29/4227;University of Toronto
29/11095;Massey University
29/4724;RMIT University
29/9081;University of Louisiana - Lafayette
29/1964;Australian National University
29/1044;University of Nottingham
29/5042;University of Melbourne
29/4785;New York University
29/563-3;Durham University
29/3483;Univ. of California - San Diego
29/5976;Georgia Institute of Technology
29/1660;Carnegie Mellon University
29/737;Rochester Institute of Technology
29/4213;Hacettepe University
29/5669;Polytechnic University of Catalonia
29/5300;IMSc
29/1726-5;Johns Hopkins University
29/6948-3;Tsinghua University
29/1059-3;BUPT
29/3552;Durham University
29/4271;Temple University
29/3533;King's College London
29/5169;Universidad de Chile
29/2988;Bundeswehr University Munich
29/2941;Victoria University of Wellington
29/4232;University of Missouri - Kansas City
29/6460;University of Windsor
29/5769;North Carolina State University
29/361;University of Cambridge
29/2755;Masaryk University
29/3350;Kyungpook National University
29/5335;Chalmers/GU
29/6693;Tsinghua University
29/2345;University of Marburg
29/3066;JUST
29/5978;Sharif University of Technology
29/5273;Boston University
29/1197;UFRGS
29/5797;IIT Kharagpur
29/461;Sapienza University of Rome
29/5901;Shanghai Jiao Tong University
29/1074;University of Melbourne
29/8321;University of Illinois at Chicago
29/2209;University of Tübingen
29/3650;Imperial College London
29/2362-1;UESTC
29/4265;University of Southampton
29/4899;University of Minnesota
29/3287;Technion
29/177-1;University of Texas at Dallas
29/2622;Qatar University
29/4018;University of Strathclyde
29/5373;Özyeğin University
29/5476;American University of Beirut
29/897;University of Tsukuba
29/6599;Xidian University
29/532;University of Hawaii at Manoa
29/3269;BITS Pilani-Goa
29/3207;University of Pittsburgh
29/304;University of Piraeus
29/3770;Universidade de Lisboa
29/4269;Hunan University
29/6724;Columbia University
29/5199;University of Tübingen
29/7442;Rochester Institute of Technology
29/5259-2;University of Massachusetts Lowell
29/6606;University of Technology Sydney
29/446;University of Nicosia
29/3972;Cardiff University
29/7836;Open University UK
29/7270;Universidad de los Andes
29/5664;University of Nebraska
29/181;UFRGS
29/1340-1;Columbia University
29/5791;Tokyo Institute of Technology
29/8210;IIT Delhi
29/10661;Massachusetts Institute of Technology
29/192;VU Amsterdam
29/7934;Yonsei University
331/3556;University of Manitoba
331/5847;IUPUI
331/9717;University of Kentucky
331/2985;Univ. of California - Irvine
92/2834-4;Chinese Academy of Sciences
92/7140;USTC
92/1378-1;Cornell University
92/9596;Mälardalen University
92/2963;Rochester Institute of Technology
92/4419;IIIT Hyderabad
92/5955;University of Southampton
92/6962;CWI
92/1103;Technion
92/8340;Universidad Nacional de Córdoba
92/8737;Air Force Institute of Technology
92/2561;Virginia Commonwealth University
92/8277;Harbin Institute of Technology
92/5624;University College Dublin
92/1903;University of Cambridge
92/4402;University of Southampton
92/3841;University of A Coruña
92/3154;Lancaster University
92/883;University of St Andrews
92/7480;University of Louisiana - Lafayette
92/6352;Washington University in St. Louis
92/4032;University of Essex
92/3685;HKUST
92/3822;McMaster University
92/1652;New Mexico State University
92/630;University of Cincinnati
92/6794;University of Pennsylvania
92/7037;University of Hawaii at Manoa
92/6598;University of Massachusetts Amherst
92/5463;Cyprus University of Technology
92/5343;Soochow University
92/10674;Goldsmiths University of London
92/3528;University of Massachusetts Boston
92/5142;KAIST
92/6630;Xidian University
