author,pid
Lei-Da Li,92/6630
Leida Li,92/6630
Leif Azzopardi,29/4018
Leif Kobbelt,k/LeifKobbelt
Leif P. Kobbelt,k/LeifKobbelt
Leila Kosseim,k/LeilaKosseim
Leila Musavian,41/3870
Leila Ribeiro,
Leila Ribeiro 0001,r/LeilaRibeiro
Leila Ribeiro Korff,r/LeilaRibeiro
Leila Taher,62/4824
Leila Takayama,56/1315
Leilani Battle,91/7584
Leilani Gilpin,215/8848
Leilani H. Gilpin,215/8848
Leilani Hendrina Gilpin,215/8848
Leilani Henrina Gilpin,
Lein Harn,h/LeinHarn
Leishi Zhang,01/4701
Leiting Chen,48/1935
Leizhen Cai,c/LeizhenCai
Lejla Batina,67/1939
Leliane N. de Barros,51/6275
Leliane Nunes de Barros,51/6275
Len Adleman,a/LeonardMAdleman
Lena Mashayekhy,44/10956
Lena Peterson,93/4032
Lene Nielsen,81/5416
Lenhart K. Schubert,s/LenhartKSchubert
Lenka Zdeborová,27/6064
Lennart Johnsson,322/4197
Lenore Blum,59/879
Lenore Cowen,c/LenoreCowen
Lenore J. Cowen,c/LenoreCowen
Lenwood S. Heath,h/LenwoodSHeath
Leo Bachmair,48/1
Leo Bertossi,b/LEBertossi
Leo Dorst,57/2089
Leo Joskowicz,66/2699
Leo Mark,03/5097
Leon A. Watts,19/3482
Leon Adam Watts,19/3482
Leon Bergen,136/8736
Leon Danon,74/1124
Leon Derczynski,66/8157
Leon M. Tolbert,26/3976
Leon Reznik,59/2041
Leon Richard Anthony Strømberg-Derczynski,66/8157
Leon Strømberg-Derczynski,66/8157
Leon Watts,19/3482
Leon van der Torre,t/LeendertWNvanderTorre
Leonard J. Schulman,53/4745
Leonard M. Adleman,a/LeonardMAdleman
Leonard Manzara,175/6482
Leonard Max Adleman,a/LeonardMAdleman
Leonard McMillan,m/LeonardMcMillan
Leonard Pitt,76/4781
Leonardo Aniello,32/10081
Leonardo B. Oliveira,22/175
Leonardo Barbosa e Oliveira,22/175
Leonardo Bobadilla,43/2125
Leonardo Emmendorfer,91/29
Leonardo G. P. Murta,25/3645
Leonardo Gresta Paulino Murta,25/3645
Leonardo Murta,25/3645
Leonardo Murta 0001,25/3645
Leonardo Querzoni,24/2123
Leonardo R. Emmendorfer,91/29
Leonardo Ramos Emmendorfer,91/29
Leonardo Stella,143/5923
Leonel Augusto Sousa,s/LeonelSousa
Leonel Sousa,s/LeonelSousa
Leonid A. Levin,l/LeonidALevin
Leonid Chindelevitch,08/3182
Leonid Gurvits,76/3246
Leonid K. Reznik,59/2041
Leonid Kontorovich,20/10289
Leonid Libkin,l/LeonidLibkin
Leonid Reyzin,r/LeonidReyzin
Leonid Sazanov,
Leonid Sigal,09/4991
Leonidas Fegaras,f/LeonidasFegaras
Leonidas J. Guibas,g/LeonidasJGuibas
Leonidas Lampropoulos,120/7696
Leonidas Palios,81/382
Leonor Barroca,75/2785
Leopoldo E. Bertossi,b/LEBertossi
Leopoldo Teixeira,62/8372
Lerina Aversano,80/51
Lerrel Pinto,168/8304
Les A. Piegl,84/419
Les Carr,c/LesCarr
Leslie A. Henderson,67/941
Leslie Ann Goldberg,67/941
Leslie Carr,c/LesCarr
Leslie G. Valiant,v/LeslieGValiant
Leslie Gasser,
Leslie Lander,08/529
Leslie Pack Kaelbling,k/LesliePackKaelbling
Leszek Antoni Gasieniec,g/LeszekGasieniec
Leszek Gasieniec,g/LeszekGasieniec
Leszek Lilien,31/5242
Leszek Pacholski,p/LPacholski
Leszek T. Lilien,31/5242
Letha H. Etzkorn,99/3858
Leticia Mara Peres,72/593
Letizia Jaccheri,j/MLJaccheri
Letizia Tanca,t/LetiziaTanca
Letícia M. Peres,72/593
Letícia Mara Peres,72/593
Lev Manovich,56/1142
Lev Reyzin,00/6247
Levent Burak Kara,k/LeventBurakKara
Levent Yilmaz,68/2901
Levi H. S. Lelis,82/7788
Levi Lelis,82/7788
Lewis D. Griffin,93/910
Lewis M. Mackenzie,19/4488
Lewis Mackenzie,19/4488
Lewis Tseng,85/10827
Lexing Xie,59/4002
Leye Wang,07/8764
Leysia Palen,88/3668
Leïla Musavian,41/3870
Li Chen 0009,c/LiChen9
Li Chen 0019,c/LiChen19
Li Fei-Fei 0001,79/2528
Li Jiang 0002,45/4954-2
Li Li,
Li Li 0029,53/2189-29
Li Liao,
Li Liu 0028,33/4528-28
Li Lu 0008,49/2793-8
Li Niu 0002,02/3166-2
Li Sun 0005,57/2405-5
Li Weigang,
Li Weigang 0001,l/WeigangLi
Li Xiao 0001,14/5505-1
Li Xiong 0001,39/3530-1
Li Yang 0008,09/3925-8
Li Zhang 0004,89/5992-4
Li-Chen Fu,95/245
Li-Hsing Yen,99/3776
Li-Mei Peng,131/7378
Li-Pin Chang,78/2863
Li-Ping Liu 0001,47/5615-1
Li-San Wang,w/LiSanWang
Li-Shiuan Peh,86/2160
Li-Yan Yuan,y/LiYanYuan
Li-Yang Tan,87/5034
LiGuo Huang,28/3956
Liam D. Turner,167/5289
Liam Murphy 0001,56/753-1
Liam O'Connor,146/3436
Liam Paull,54/7482
Liam Peyton,09/1140
Liam Roditty,93/5413
Lian Li 0002,l/LianLi0002
Liang Bao,80/6207
Liang Cheng 0001,72/5666-1
Liang Hu 0002,48/5388-2
Liang Huang 0001,03/5847-1
Liang Lan,53/7648
Liang Lin,84/7019
Liang Liu 0001,10/6178-1
Liang Wang 0001,56/4499-1
Liang Wang 0006,56/4499-6
Liang Zhao 0002,63/5422-2
Liang Zheng 0001,61/7360-1
Liang-Tien Chia,05/2952
Liangcai Gao,23/7062
Liangfeng Zhang,326/1182
Lianli Gao,123/9849
Libertario Demi,86/9676
Libin Liu 0002,59/8294-2
Libo Zhang 0001,78/33-1
Lichao Sun,121/0780
Licheng Jiao,40/3714
Licheng Wang,54/2170
Licia Capra,80/3200
Licia Sbattella,47/562
Lidan Shou,21/5967
Lie-Liang Yang,66/4332
Lifang He 0001,129/8146
Lifeng Sun,06/2128
Lifu Huang,127/0072
Lifu Wang,14/5317
Ligang He,36/5655
Ligang Liu,07/1830
Liguo Huang,28/3956
Lihao Xu,57/2512
Lihi Zelnik,z/LihiZelnikManor
Lihi Zelnik-Manor,z/LihiZelnikManor
Lihua Yue,45/4923
Lijie Wang,96/1435
Lijie Wen,36/172
Lijun Chang,47/179
Lijun Chen 0001,98/5441-1
Lijun Chen 0002,c/LijunChen2
Lijun Chen 0006,c/LijunChen6
Lijun Yin,y/LijunYin
Lijun Zhang 0005,76/4015-5
Lila Kari,k/LilaKari
Lila Santean,k/LilaKari
Lili Mou,127/0779
Lili Qiu,54/4031
Lili Shan,120/9007
Lilia Georgieva,66/5409
Lilian Blot,70/3701
Liliana Pasquale,75/2365
Lillian Lee,l/LillianLee
Lilly C. Irani,66/4224
Lilly Irani,66/4224
Lilya Budaghyan,93/6717
Limei Peng,131/7378
Limin Wang 0002,68/6610-2
Limin Xiao,31/5990
Liming Cai,c/LimingCai
Limsoon Wong,w/LimsoonWong
Lin Chen 0015,13/3479-15
Lin Feng 0001,62/670-1
Lin Gao 0004,92/2834-4
Lin Gu 0002,70/3413-2
Lin Guan,07/52
Lin Jiang,03/7067
Lin Li 0051,73/2252-51
Lin Liu 0001,61/2115-1
Lin Lv,76/1781
Lin Padgham,p/LPadgham
Lin Qiao,q/LinQiao
Lin Shang 0001,66/3175-1
Lin Tan 0001,13/3957-1
Lin Uhrmacher,u/AdelindeUhrmacher
Lin Wang 0015,17/6729-15
Lin Zhang 0014,37/1629-14
Lin Zhong 0001,27/2552-1
Lin Zuo,75/5553
Lin-Na Zhou,87/980
Lin-shan Lee,293/2075
LinLin Shen,88/5607
Lina Yao 0001,56/6651-1
Lina von Sydow,59/8438
Linda G. Shapiro,s/LindaGShapiro
Linda Jean Camp,72/4476
Linda Ott,
Linda Pagli,p/LindaPagli
Linda Petzold,03/3669
Linda R. Petzold,03/3669
Linda Weiser Friedman,77/1770
Lindsay Groves,35/5781
Lindsay J. Groves,35/5781
Lindsey Kuper,139/2539
Line H. Clemmensen,05/1109
Line Harder Clemmensen,05/1109
Line Katrine Harder Clemmensen,05/1109
Ling Chen 0001,17/1237-1
Ling Chen 0006,17/1237-6
Ling Feng,58/4464
Ling Li 0001,92/5001-1
Ling Liu 0001,l/LingLiu
Ling Ren 0001,30/10661
Ling Tian,59/4435
Ling Wang,45/6607
Ling-Qi Yan,121/5416
Ling-Yu Duan,d/LingyuDuan
Lingfei Jin,61/8860
Lingfei Wu,27/9060
Lingfeng Bao,161/1073
Linghe Kong,23/7909
Lingjia Liu,
Lingjia Tang,35/1464
Lingjie Liu,204/0052
Lingkan Gong,19/8001
Lingling Li 0002,42/1500-2
Lingming Zhang,27/7057
Lingqiao Liu,45/7776
Lingxiao Jiang,82/3572
Lingyu Duan,d/LingyuDuan
Lingyun Sun,55/4732
Lingzhi Li,
Linh Anh Nguyen,00/2953
Linh T. X. Phan,92/1043
Linh Thi Xuan Phan,92/1043
Linhai Song,55/7502
Lining Yao,98/7448
Linli Xu,66/1240
Linlin Shen,88/5607
Linmei Hu,141/4440
Linmi Tao,09/5358
Linna Zhou,87/980
Linpeng Huang,93/4039
Linqi Song,137/7963
Linwei Wang,02/6162
Linzhang Wang,63/829
Lionel M. Ni,n/LionelMNi
Lionel Ming-shuan Ni,n/LionelMNi
Lionel Morel,95/9201
Lionel Parreaux,181/5785
Lionel Robert Morel,95/9201
Lionel Seinturier,75/3681
Lior Pachter,52/2663
Lior S. Pachter,52/2663
Lior Shamir,75/4293
Lior Wolf,83/4103
Liping Liu 0001,47/5615-1
Liping Shen,00/568
Lipyeow Lim,55/2304
Liqiang Nie,92/8277
Liqiang Wang,02/3331
Liqing Zhang 0001,20/4627-1
Liqing Zhang 0002,20/4627-2
Liqiong Tang,77/4110
Liqun Chen 0001,22/150-1
Lirong Xia,73/4036
Lisa Anthony,63/2020
Lisa Fan,96/3057
Lisa Hellerstein,h/LisaHellerstein
Lisa McCann,130/0610
Lisa Singh,80/3925
Lisa Wu 0001,23/3943
Lisa Wu Wills,23/3943
Lisandro Z. Granville,52/4475
Lisandro Zambenedetti Granville,52/4475
Lise Getoor,g/LiseGetoor
Lisheng Huang,56/4434
Lisi Chen,37/10606
Lisimachos Kondi,66/357
Lisong Xu,16/2866
Liting Hu,10/6462
Liuba Shrira,s/LiubaShrira
Liusheng Huang,51/769
Liwei Chan,83/11299
Liwei Wang 0001,47/1798-1
Liwei Wang 0009,47/1798-9
Lixia Zhang 0001,z/LixiaZhang1
Lixiang Li 0001,73/6284
Lixin Ding,42/5947
Lixin Duan,54/7057
Lixin Fu 0001,16/1438-1
Liyana Shuib,77/8181
Liyong Ren,31/3990
Liyong Tang,73/5728
Liz Sonenberg,41/4303
Lizhen Qu,58/3601
Lizhong Chen,78/4756
Lizhuang Ma,10/4950
Lizi Liao,149/1249
Lizong Zhang,45/7307
Ljubomir Perkovic,31/1371
Llorenç Cerdà,27/3027
Llorenç Cerdà-Alabern,27/3027
Lloyd W. Massengill,05/9467
Lluís Màrquez,62/3
Lluís Màrquez i Villodre,62/3
Lluís Vilanova,44/1754
Lluís Vilanova García,44/1754
Loai Alnemer,119/7412
Loana Tito Nogueira,79/4445
Loay Sabry-Ismaïl,26/3830
Lodewyk F. A. Wessels,15/5717
Loek Cleophas,c/LoekCleophas
Loek G. Cleophas,c/LoekCleophas
Lois Wright Hawkes,45/614
Lok-won Kim,18/9973
Lone Leth,42/857
Lone Leth Thomsen,42/857
Long Cheng 0005,49/225-5
Long Lu,81/7428
Long Quan,04/575
Long Tran-Thanh,46/8333
Long Zheng 0003,68/6274-3
Long-Wen Chang,93/4451
Longbo Huang,79/7077
Longbu Huang,79/7077
Longin Jan Latecki,44/1633
Longjun Liu,85/1790
Lonnie R. Welch,42/2483
Lora Aroyo,42/6100
Lora Oehlberg,20/2027
Loren G. Terveen,70/5219
Loren Gilbert Terveen,70/5219
Loren Schwiebert,70/3653
Loren Terveen,70/5219
Lorenz Hilty,36/6947
Lorenzo Alvisi,a/LAlvisi
Lorenzo Bruzzone,50/1319
Lorenzo Carlucci,55/1910
Lorenzo Cavallaro,95/5162
Lorenzo Clemente,94/8295
Lorenzo Livi,22/11262
Lorenzo Masia,83/4371
Lorenzo Orecchia,32/4340
Lorenzo Strigini,19/6375
Lori L. Pollock,p/LLPollock
Lorie Loeb,12/5709
Lorie M. Liebrock,l/LorieMLiebrock
Loris D'Antoni,85/770
Loris Marchal,36/3810
Lorna K. Stewart,s/LornaKStewart
Lorna MacDonald,
Lorna Stewart,s/LornaKStewart
Lorne Olfman,08/3739
Lorraine McGinty,08/6419
Lorrie Faith Cranor,03/1595
Lothar Thiele,t/LotharThiele
Lotus Goldberg,
Louay Bazzi,90/3542
Louay M. J. Bazzi,90/3542
Louiqa Raschid,r/LouiqaRaschid
Louis Bigo,54/9815
Louis D'Alotto,04/3211
Louis D. Nel,n/LouisDNel
Louis I. Steinberg,s/LouisISteinberg
Louis Massey,17/738
Louis Petingi,64/2339
Louis Salvail,89/5883
Louis-Noël Pouchet,41/5129
Louis-Philippe Morency,31/739
Louise A. Dennis,58/1750
Louise Abigail Dennis,58/1750
Louise Knight,150/5056
Loukas Georgiadis,42/6005
Lourdes Agapito,70/3697
Lourdes Peña Castillo,69/202
Lourdes de Agapito,70/3697
Louwe B. Kuijer,117/1757
Louwe Bouke Kuijer,117/1757
Loïc Cerf,43/3578
Loïc Denis,64/7870
Lu Chen 0001,69/157-1
Lu Feng 0001,48/4233-1
Lu Qin 0001,51/5585
Lu Ruan 0001,11/3879
Lu Su,63/4152
Lu Sun 0001,62/5798-1
Lu Wang 0002,49/3800-2
Lu Wang 0008,49/3800-8
Lu Zhang 0021,71/2843-21
Lu Zhang 0023,z/LuZhang1
Luay Nakhleh,18/7026
Lubomir Bic,b/LubomirBic
Lubomir F. Bic,b/LubomirBic
Lubomír Bulej,20/848
Lubomír Popelínský,90/4915
Lubos Brim,92/3060
Lubos Popelínský,90/4915
Luc Berthouze,b/LucBerthouze
Luc Bougé,b/LucBouge
Luc De Raedt,r/LucDeRaedt
Luc Devroye,d/LucDevroye
Luc J. Van Gool,
Luc Lamontagne,45/3111
Luc Lavoie,168/2267
Luc Longpré,l/LLongpre
Luc Moreau 0001,31/5619
Luc Segoufin,s/LucSegoufin
Luc Van Gool,61/5017
Luca Abeni,21/3170
Luca Allodi,37/9766
Luca Barletta,45/9916
Luca Becchetti,b/LucaBecchetti
Luca Benini,b/LucaBenini
Luca Cardelli,c/LucaCardelli
Luca Citi,81/751
Luca Daniel,35/5202
Luca Gemignani,g/LucaGemignani
Luca Greco,
Luca Iocchi,29/461
Luca Maria Aiello,61/5674
Luca Mottola,60/5205
Luca O. Breviglieri,
Luca P. Carloni,68/2644
Luca Rossi 0003,61/7974-3
Luca Trevisan,t/LucaTrevisan
Luca Viganò 0001,93/2273
Luca de Alfaro,d/LucadeAlfaro
Lucas Ferrari De Oliveira,82/1492
Lucas Mello Schnorr,57/3743
Luce Brotcorne,01/2206
Lucia Dettori,96/81
Lucia Moura,30/6066
Lucia Rapanotti,89/3806
Lucia Specia,23/2900
Lucian Ilie,i/LucianIlie
Luciana Benotti,22/1403
Luciana P. Nedel,60/2597
Luciana Porcher Nedel,60/2597
Luciana S. Buriol,b/LucianaSBuriol
Luciana Salete Buriol,b/LucianaSBuriol
Luciano Barbosa,80/468
Luciano Baresi,b/LucianoBaresi
Luciano García-Bañuelos,19/2137
Luciano Paschoal Gaspary,g/LPGaspary
Luciano Silva,69/2301
Lucien Haddad,28/6794
Lucinéia Heloisa Thom,29/181
Lucinéia Thom,29/181
Lucio Mauro Duarte,53/6206
Lucjan Hanzlik,119/3581
Lucy Hederman,15/1071
Ludek Matyska,65/6662
Ludger Humbert,h/LudgerHumbert
Ludwig Schmidt,141/2720
Lui Raymond Sha,67/5282
Lui Sha,67/5282
Luidi Gelabert Simonetti,24/7061
Luidi Simonetti,24/7061
Luigi Benedicenti,15/3096
Luigi Carro,25/5214
Luigi Cerulo,85/3846
Luigi Cinque,64/4176
Luigi Lancieri,00/2711
Luigi Palopoli 0002,p/LuigiPalopoli2
Luigi Troiano,76/4882
Luigi V. Mancini,55/6061
Luigi Vincenzo Mancini,55/6061
Luigia Aiello,a/LuigiaCarlucciAiello
Luigia Carlucci Aiello,a/LuigiaCarlucciAiello
Luis A. F. M. Ferreira,23/2930
Luis Antonio Brasil Kowada,54/4829
Luis Ceze,95/5263
Luis Eduardo Teixeira Rodrigues,r/LRodrigues
Luis Espinosa Anke,140/3490
Luis Felipe Gonzalez,41/9519
Luis Gravano,g/LuisGravano
Luis M. Rocha,r/LuisMateusRocha
Luis Mateus Rocha,r/LuisMateusRocha
Luis Mejías,18/3980
Luis Mejías Alvarez,18/3980
Luis Miguel Silveira,s/LuisMiguelSilveira
Luis Pedrosa,41/7401
Luis Rademacher,31/5438
Luis Rocha,71/10278
Luis Rueda,r/LuisRueda
Luis Velasco,05/4925
Luis von Ahn,78/391
Luisa Gargano,28/5375
Luiz Carlos Pessoa Albini,78/5871
Luiz Chaimowicz,c/LuizChaimowicz
Luiz Eduardo Buzato,02/1987
Luiz Eduardo Soares De Oliveira,o/LuizSOliveira
Luiz F. Bittencourt,76/6740
Luiz Fernando Bittencourt,76/6740
Luiz Filipe M. Vieira,41/3075
Luiz Filipe Menezes Vieira,41/3075
Luiz G. A. Martins,53/7538
Luiz G. L. Fernandes,f/LuizGustavoFernandes
Luiz Gustavo Almeida Martins,53/7538
Luiz Gustavo Fernandes,f/LuizGustavoFernandes
Luiz Gustavo Leão Fernandes,f/LuizGustavoFernandes
Luiz S. Ochi,o/LuizSatoruOchi
Luiz Satoru Ochi,o/LuizSatoruOchi
Luiza Antonie,13/673
Lujo Bauer,32/3440
Lukasz A. Kurgan,37/1871
Lukasz Debowski,69/3583
Lukasz Golab,42/3296
Lukasz Jez,09/813
Lukasz Kowalik,k/LukaszKowalik
Lukasz Ziarek,54/645
Luke Huan,58/2597
Luke J. Lee,154/3883
Luke N. Olson,06/8561
Luke Olson,06/8561
Luke Ong,o/CHLukeOng
Luke S. Zettlemoyer,21/6793
Luke Zettlemoyer,21/6793
Luke Ziarek,54/645
Lukás Burget,76/686
Lukás Holík,64/6177
Lukás Sekanina,49/5896
Lunjin Lu,l/LunjinLu
Luoyi Fu,44/7207
Luqi,l/Luqi
Lusheng Wang 0001,40/4750-1
Lutz Maicher,m/LutzMaicher
Lutz Prechelt,54/3155
Lutz Schröder,69/2397
Luu Anh Tuan,81/8329
Luyi Xing,34/8412
Luís C. Lamb,l/LCLamb
Luís Caires,36/4734
Luís Caldas de Oliveira,47/1830
Luís Carlos Erpen De Bona,78/3197
Luís Carriço,45/6515
Luís Correia 0001,65/6156
Luís D. Pedrosa,41/7401
Luís E. T. Rodrigues,r/LRodrigues
Luís F. M. de Moraes,28/3122
Luís Felipe M. de Moraes,28/3122
Luís G. Rueda,r/LuisRueda
Luís Guerra e Silva,75/106
Luís M. Correia,82/4509
Luís M. S. Russo,80/5064
Luís Manuel Jesus Sousa Correia,82/4509
Luís Miguel Parreira Correia,65/6156
Luís Miguel Silveira,s/LuisMiguelSilveira
Luís Moniz Pereira,p/LuizMonizPereira
Luís Pina,98/2164
Luís Rodrigues 0001,r/LRodrigues
Luís Veiga,v/LuisVeiga
Luís da Cunha Lamb,l/LCLamb
Luísa Coheur,27/6767
Luíz Moniz Pereira,p/LuizMonizPereira
Lydia B. Chilton,73/7444
Lydia E. Kavraki,k/LydiaEKavraki
Lydia Lau,94/7339
Lydia Tapia,88/2396
Lydia Y. Chen,93/2896
Lydia Yiyu Chen,93/2896
Lyle H. Ungar,u/LyleHUngar
Lyle Ungar,u/LyleHUngar
Lynda Hardman,h/LyndaHardman
Lyndon While,w/RLyndonWhile
Lynette van Zijl,02/4801
Lynn Dombrowski,06/11300
Lynn Peterson,76/4892
Lynn S. Dombrowski,06/11300
Lynne Baillie,55/4931
Lynne Blair,87/6649
Lynne E. Parker,33/1556
Lynne Parker,33/1556
Lásaro J. Camargos,54/1243
Lásaro Jonas Camargos,54/1243
László Babai,b/LaszloBabai
László Egri,02/6401
László Kozma 0002,85/2288-2
Léon J. M. Rothkrantz,60/5164
Léonor Beccera-Bonache,
Lúcia M. A. Drummond,41/2824
Lúcia Maria de A. Drummond,41/2824
Lúcia Maria de Assumpção Drummond,41/2824
M. Amaç Güvensan,03/2040
M. Angela Sasse,s/MASasse
M. Ani Hsieh,32/4779
M. Anton Ertl,15/424
M. B. Do Coutto Filho,184/9663
M. B. Thuraisingham,t/BMThuraisingham
M. Balakrishnan,24/4827
M. Birna van Riemsdijk,r/MBvRiemsdijk
M. Brandon Haworth,121/1806
M. Brian Blake,b/MBrianBlake
M. Cecília C. Baranauskas,b/MCCBaranauskas
M. D. Atkinson,a/MikeDAtkinson
M. Eduard Gröller,g/MEGroller
M. Ehsan Abbasnejad,30/11191
M. Elif Karsligil,50/1345
M. Engin Tozal,29/9081
M. Fatih Amasyali,94/3915
M. Fatih Demirci,75/5089
M. Frans Kaashoek,k/MFransKaashoek
M. Furkan Kiraç,26/1056
M. G. J. van den Brand,v/MarkvandenBrand
M. Gopi,
M. Gopi 0001,g/MGopi
M. H. Samadzadeh,s/MansurHSamadzadeh
M. Hassan Najafi,167/9827
M. Kaykobad,k/MohammadKaykobad
M. Kemal Sönmez,30/3115
M. L. Chaudhry,c/MohanLChaudhry
M. L. Chaudhry 0001,c/MohanLChaudhry
M. Masadeh Bani Yassein,21/451
M. Mondal Ananda,53/9077
M. Mustafa Rafique,32/5404
M. Narasimha Murty,m/MNarasimhaMurty
M. Osama Alhalabi,66/7809
M. Praveen,43/2065
M. Reha Civanlar,46/1394
M. Remzi Sanver,62/8448
M. S. Ramanujan 0001,04/9023
M. S. Ryoo,
M. S. Tudruj,71/6452
M. Salman Asif,21/1910
M. Satyanarayanan,s/MahadevSatyanarayanan
M. Sheelagh T. Carpendale,c/MSheelaghTCarpendale
M. Sohel Rahman,r/MohammadSohelRahman
M. Tahar Kechadi,43/3991
M. Tamer Özsu,o/MTamerOzsu
M. Tevfik Sezgin,93/9592
M. V. N. Ashwin Kumar,m/AMachanavajjhala
M. V. Panduranga Rao,92/4566
M. V. Rakhuba,156/0075
M. Zubair Shafiq,83/9528
M. Özuysal,62/3513
M. Ümit Uyar,76/32
Maarit J. Käpylä,173/2941
Maarit Käpylä,173/2941
Maarten Jansen,18/6851
Maarten Löffler,46/6428
Maarten Marx,m/MaartenMarx
Maarten de Rijke,r/MdRijke
Maarten van Steen,s/MaartenvanSteen
Maarten van Walstijn,01/8063
Maartje M. A. de Graaf,137/6947
Maartje Margaretha Allegonda de Graaf,137/6947
Maartje de Graaf,137/6947
Macario O. Cordel II,167/7678
Maciej A. Mazurowski,19/294
Maciej Liskiewicz,06/5685
Maciej Ogrodniczuk,116/4961
Maciej Piróg,53/10735
Madalina Fiterau,05/8090
Madeleine Udell,153/2166
Madhav Marathe,52/991
Madhav Rao,161/3316
Madhav V. Marathe,52/991
Madhav Vinayak Marathe,52/991
Madhavan Mukund,53/2323
Madhu Lata Goyal,48/2103
Madhu Mutyam,m/MadhuMutyam
Madhu Sudan 0001,s/MadhuSudan
Madhur Behl,10/9662
Madhur Tulsiani,63/5004
Madhusanka Liyanage,123/9171
Madhusudhan Govindaraju,02/7038
Madjid Fathi,48/4648
Madjid Fathi-Torbaghan,48/4648
Mads Dam,d/MadsDam
Mads F. Dam,d/MadsDam
Mads Haahr,18/4927
Mads Nielsen,80/1754
Mads Nyborg,297/1931
Mads Peter Sørensen,
Maen M. Al Assaf,119/1651
Magda Balazinska,b/MagdalenaBalazinska
Magda El Zarki,32/353
Magdalena Balazinska,b/MagdalenaBalazinska
Magdy A. Bayoumi,b/MagdyABayoumi
Magdy Bayoumi,b/MagdyABayoumi
Magne Haveraaen,55/4636
Magnus Almgren,55/3115
Magnus Boman,53/3303
Magnus Bordewich,29/3552
Magnus Jahre,88/2818
Magnus Lie Hetland,52/93
Magnus Madsen,43/10082
Magnus Myreen,92/2955
Magnus O. Myreen,92/2955
Magnus Oskar Myreen,92/2955
Magnus Ramage,20/1554
Magnus Själander,53/1727
Magnus Wahlström,42/318
Magy Seif El-Nasr,19/170
Mahadev Satyanarayanan,s/MahadevSatyanarayanan
Mahadevan Subramaniam,s/MSubramaniam
Mahalingam Ramkumar,76/3922
Mahanth Gowda,116/0691
Mahbub Hassan,10/2899
Mahbubur M. Rahim,
Mahbubur Rahim,154/3921
Mahbubur Rahman,38/5762
Mahdi Abdelguerfi,72/136
Mahdi Belcaid,46/5684
Mahdi Cheraghchi,94/3017
Mahdi Fazeli,46/5137
Mahdi Jafari Siavoshani,57/7800
Mahdi Nazm Bojnordi,37/4871
Mahdi Soltanolkotabi,75/6691
Mahdieh Soleymani,21/473
Mahdieh Soleymani Baghshah,21/473
Mahe Velauthapillai,35/2211
Mahendran Velauthapillai,35/2211
Maher Ali Khamakhem,22/2435
Maher Khemakhem,22/2435
Mahesan Niranjan,15/6640
Mahesh K. Marina,71/2142
Mahesh Viswanathan 0001,23/2759-1
Mahir Arzoky,120/5542
Mahmoud El-Haj,78/9358
Mahmoud Fathy,38/7462
Mahmoud R. El-Sakka,98/4783
Mahmoud Rasras,02/6116
Mahmuda Naznin,85/4428
Mahmut T. Kandemir,k/MahmutTKandemir
Mahmut Taylan Kandemir,k/MahmutTKandemir
Mahsa Mirzargar,02/7296
Mahshid Mojtabavi Naeini,162/5964
Mai Ahmed Fadel,273/9407
Mai Anh Tien,263/6753
Mai ElSherief,131/6260
Mai Fadel,273/9407
Maia L. Jacobs,133/6604
Maic Masuch,m/MMasuch
Maike Buchin,41/2907
Maike Walther,41/2907
Mainack Mondal,87/8324
Mainak Chaudhuri,34/3071
Maithilee Kunda,91/3839
Maja J. Mataric,37/5216
Maja Mataric,37/5216
Maja Pantic,p/MajaPantic
Majdi Sawalha,47/8156
Majid Ghaderi,78/4129
Majid Kazemian,80/3848
Majid Khonji,93/9379
Majid Komeili,10/10408
Majid Mirmehdi,79/2375
Majid Sarrafzadeh,s/MajidSarrafzadeh
Majid Zamani,34/9188
Makan Fardad,36/6214
Maki Sugimoto,33/3150
Makoto Matsushita,65/4134
Makoto Nakayama,43/6852
Makoto Onizuka,19/3497
Makoto P. Kato,14/7537
Makoto Yamada,56/4937
Makoto Yamashita,39/6791
Maksim Rakhuba,156/0075
Maksim Serbyn,
Malak Abdullah,32/9695
Malay Bhattacharyya 0001,65/1963
Malaya Dutta Borah,283/7486
Malcolm D. Atkinson,64/6798
Malcolm Heywood,35/5521
Malcolm P. Atkinson 0001,a/MalcolmPAtkinson
Malcolm Ryan,40/125
Malek Mouhoub,42/5072
Maleknaz Nayebi,145/7511
Malgorzata Biernacka,67/3482
Malgorzata Marciniak,09/1106
Malik Magdon-Ismail,53/1994
Malika Meghjani,15/10073
Malte F. Jung,126/1857
Malte Jung,289/5868
Malte Schwarzkopf,49/7988
Malvina Nissim,91/2392
Man Ho Allen Au,55/24
Man Ho Au,55/24
Man Hon Cheung,41/7881
Man Hon Wong 0001,w/ManHonWong
Man Kong,292/8953
Man-Tak Shing,61/4892
Manal Abdullah,30/6977
Manal Helal,39/6224
Manar Alalfi,49/2794
Manar S. Ali,217/5004
Manas Khatua,125/1666
Mandar Mitra,85/2002
Mandya Angrosh,148/4542
Maneesh Agrawala,64/2431
Manel Guerrero Zapata,47/3523
Manel Medina,56/6309
Manex Agirrezabal,140/3023
Manfred Claassen,23/7066
Manfred Droste,d/ManfredDroste
Manfred Hauswirth,h/ManfredHauswirth
Manfred Huber,81/682
Manfred Jaeger,50/4079
Manfred K. Warmuth,w/ManfredKWarmuth
Manfred Kerber,k/ManfredKerber
Manfred Kufleitner,79/477
